"county","tract","cbsa20","CountyName","CBSAName20","pop20","afact"
"County code","Tract","Core-based statistical area code","County name","2020 CBSA name","Total population (2020 Census)","tract-to-cbsa20 allocation factor"
"11001","0001,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1406,1 
"11001","0001,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3417,1 
"11001","0002,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4108,1 
"11001","0002,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4672,1 
"11001","0003,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",6161,1 
"11001","0004,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1643,1 
"11001","0005,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3829,1 
"11001","0005,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3418,1 
"11001","0006,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4676,1 
"11001","0007,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3452,1 
"11001","0007,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3022,1 
"11001","0007,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2753,1 
"11001","0008,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3327,1 
"11001","0008,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3174,1 
"11001","0008,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3832,1 
"11001","0009,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2317,1 
"11001","0009,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4202,1 
"11001","0009,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3148,1 
"11001","0010,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3643,1 
"11001","0010,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3111,1 
"11001","0010,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4480,1 
"11001","0011,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",5300,1 
"11001","0012,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",5371,1 
"11001","0013,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4160,1 
